nohup: no se tendrá en cuenta la entrada
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: jfphlorecti (scigeo). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.5
wandb: Run data is saved locally in /home/tidop/projects/Noisy-Student/wandb/run-20241105_101647-p4ighlt6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Student Training Alabama ResUNet
wandb: ⭐️ View project at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training
wandb: 🚀 View run at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training/runs/p4ighlt6
MSE Loss: 1.5183, Lovasz Loss: 1.0651, BCE Loss: 1.0539
MSE Loss: 1.4239, Lovasz Loss: 1.1414, BCE Loss: 1.1428
MSE Loss: 1.6277, Lovasz Loss: 1.0883, BCE Loss: 1.0633
MSE Loss: 1.4706, Lovasz Loss: 1.1611, BCE Loss: 1.1697
MSE Loss: 1.6048, Lovasz Loss: 1.1386, BCE Loss: 3.1291
MSE Loss: 1.6160, Lovasz Loss: 1.0523, BCE Loss: 1.0613
MSE Loss: 1.5323, Lovasz Loss: 1.1334, BCE Loss: 1.1702
MSE Loss: 1.6399, Lovasz Loss: 1.0711, BCE Loss: 1.1146
MSE Loss: 1.7274, Lovasz Loss: 1.0453, BCE Loss: 1.0900
MSE Loss: 1.4754, Lovasz Loss: 1.1092, BCE Loss: 1.1856
MSE Loss: 1.5606, Lovasz Loss: 1.2355, BCE Loss: 1.2878
MSE Loss: 1.6605, Lovasz Loss: 1.1379, BCE Loss: 1.1839
MSE Loss: 1.5535, Lovasz Loss: 1.1736, BCE Loss: 1.1386
MSE Loss: 1.8469, Lovasz Loss: 1.1911, BCE Loss: 1.1223
MSE Loss: 1.5860, Lovasz Loss: 1.1339, BCE Loss: 1.1625
MSE Loss: 1.8892, Lovasz Loss: 1.1757, BCE Loss: 1.1487
MSE Loss: 1.6605, Lovasz Loss: 1.1218, BCE Loss: 1.0723
MSE Loss: 1.6740, Lovasz Loss: 1.1656, BCE Loss: 1.0857
MSE Loss: 1.7927, Lovasz Loss: 1.0809, BCE Loss: 1.0925
MSE Loss: 1.5809, Lovasz Loss: 1.1093, BCE Loss: 1.1434
MSE Loss: 1.5512, Lovasz Loss: 1.2169, BCE Loss: 4.2395
MSE Loss: 1.6191, Lovasz Loss: 1.1152, BCE Loss: 1.1373
MSE Loss: 1.6610, Lovasz Loss: 1.1565, BCE Loss: 1.2026
MSE Loss: 1.4882, Lovasz Loss: 1.2729, BCE Loss: 1.1308
MSE Loss: 1.4017, Lovasz Loss: 1.2015, BCE Loss: 1.2243
MSE Loss: 1.5961, Lovasz Loss: 1.0594, BCE Loss: 1.0616
MSE Loss: 1.6411, Lovasz Loss: 1.0958, BCE Loss: 1.0509
MSE Loss: 1.4972, Lovasz Loss: 1.0967, BCE Loss: 1.0817
